Year,Production,Temperature Change,precip,CO2concentration,Temperature Change_lag_1,CO2concentration_lag_1,Temperature Change_lag_3,CO2concentration_lag_3,Temperature Change_lag_6,CO2concentration_lag_6,Temperature Change_x_Precip,Temperature Change_x_CO2concentration,Precip_x_CO2concentration,Area_Algeria,Area_Angola,Area_Armenia,Area_Australia,Area_Austria,Area_Azerbaijan,Area_Bangladesh,Area_Belarus,Area_Belgium,Area_Benin,Area_Bosnia and Herzegovina,Area_Botswana,Area_Bulgaria,Area_Burkina Faso,Area_Cambodia,Area_Cameroon,Area_Central African Republic,Area_Chad,Area_China,Area_Congo,Area_Croatia,Area_Czechia,Area_Democratic Republic of the Congo,Area_Denmark,Area_Egypt,Area_Equatorial Guinea,Area_Eritrea,Area_Estonia,Area_Eswatini,Area_Ethiopia,Area_Finland,Area_France,Area_Gabon,Area_Georgia,Area_Germany,Area_Greece,Area_Hungary,Area_India,Area_Indonesia,Area_Iran (Islamic Republic of),Area_Iraq,Area_Italy,Area_Japan,Area_Jordan,Area_Kazakhstan,Area_Kenya,Area_Kiribati,Area_Lao People's Democratic Republic,Area_Latvia,Area_Lebanon,Area_Lesotho,Area_Libya,Area_Madagascar,Area_Malawi,Area_Malaysia,Area_Mali,Area_Marshall Islands,Area_Micronesia (Federated States of),Area_Mozambique,Area_Myanmar,Area_Namibia,Area_New Caledonia,Area_New Zealand,Area_Niger,Area_Nigeria,Area_Norway,Area_Oman,Area_Pakistan,Area_Papua New Guinea,Area_Philippines,Area_Poland,Area_Republic of Moldova,Area_Romania,Area_Russian Federation,Area_Saudi Arabia,Area_Seychelles,Area_Solomon Islands,Area_Somalia,Area_South Africa,Area_South Sudan,Area_Spain,Area_Sri Lanka,Area_Sudan,Area_Sweden,Area_Syrian Arab Republic,Area_Tajikistan,Area_Thailand,Area_Turkmenistan,Area_United Kingdom of Great Britain and Northern Ireland,Area_United Republic of Tanzania,Area_Vanuatu,Area_Viet Nam,Area_Yemen,Area_Zambia
-0.9736842105263158,0.24868838063052814,-0.5017359166759993,-0.6530820180131326,-0.4770114942528736,-0.6504650465046504,0.02011494252873572,-1.2636596783266123,-0.6321839080459771,-0.3266793581724231,-0.47005988023952067,-0.5232198411920123,-0.48978404621445765,-0.6217244216688123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9210526315789473,0.274746707260101,-0.9939149587486463,-0.5679341068495489,-0.9310344827586207,-0.47644764476447643,-0.45114942528735613,-0.6217620532181641,-3.8283552573281243e-16,0.0023932553712265447,0.5898203592814372,-0.6399679415063634,-0.8396644304743337,-0.6022003718493799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.868421052631579,0.2772054273365936,-0.3870534214357709,-0.6398055165142833,-0.05747126436781552,-0.9708970897089709,-0.9051724137931032,-0.6071180009343212,0.05172413793103412,-0.11367963013326075,-0.6377245508982027,-0.4903420223645814,-0.34823944332133716,-0.5754247061954888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8157894736842105,0.28650867084144094,0.26042483294135205,-0.5217851027142989,1.252873563218391,-0.3612361236123613,-0.031609195402298056,-0.4301690358378859,-0.4195402298850574,-1.1236333967908618,-0.6497005988023946,-0.22080474214728696,0.570651072073138,-0.3164370170420637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7631578947368421,0.3058033786352984,-0.958076678986075,-0.5922474751650262,-0.4770114942528736,0.2892289228922891,1.2787356321839085,-0.9329481642498263,-0.8735632183908041,-0.4942072341582811,0.008982035928143913,-0.6295625416524216,-0.816006083811286,-0.5738680991957866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7105263157894737,0.3260766418862042,0.1290178071452571,-0.5315320940695637,-1.0,-0.9348934893489349,-0.45114942528735613,-0.31301661756714255,3.8283552573281243e-16,-0.47984770193092185,0.06287425149700619,-0.2729715421362418,-0.17819062884530873,-0.5858233229244788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6578947368421053,0.02004313322350096,-1.036920894463732,-0.4876798998285245,-1.0114942528735635,0.1572157215721572,-0.9741379310344825,0.34840641058642935,1.310344827586206,-0.3063366875169975,-0.4281437125748495,-0.656569267033437,-0.8645193482907486,-0.5588563450491545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6052631578947368,0.027051275682082893,-1.2292529958561984,-0.44245585616402355,-1.8045977011494256,-1.0141014101410142,-0.9856321839080461,-0.8963380335402189,-0.4195402298850574,-0.7993472939896653,-0.9011976047904178,-0.7346320939771043,-0.9288114639129532,-0.6389937397460874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5526315789473685,0.02436482646659457,-0.6725650502109229,-0.562774431842837,-2.149425287356322,-1.2073207320732073,-1.7787356321839083,0.21416926465120273,-0.9425287356321834,-0.19146042969812346,0.008982035928144711,-0.5425058410262039,-0.7342321132886427,-0.7277880552558526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,0.02273717696868194,-0.3237391271885614,-0.5342966313869312,-0.07471264367816113,-0.6480648064806481,-2.123563218390805,-0.976880321101355,-0.9540229885057468,0.45711177590426955,1.3742514970059871,-0.42251223982590563,-0.2992859465779803,-0.48263852978751676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
